-- Student 1
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (1, '01', '0001');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (14, '02', '0203');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (14, '02', '0204');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (14, '02', '0205');

-- Student 15
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (15, '03', '0002');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (15, '03', '0301');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (15, '03', '0302');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (15, '03', '0303');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (15, '03', '0304');

-- Student 16
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (16, '04', '0002');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (16, '04', '0401');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (16, '04', '0402');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (16, '04', '0403');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (16, '04', '0404');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (16, '04', '0405');

-- Student 17
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (17, '05', '0002');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (17, '05', '0501');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (17, '05', '0502');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (17, '05', '0503');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (17, '05', '0504');

-- Student 18
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (18, '06', '0002');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (18, '06', '0601');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (18, '06', '0602');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (18, '06', '0603');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (18, '06', '0605');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (18, '06', '1001');

-- Student 19
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (19, '07', '0003');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (19, '07', '0701');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (19, '07', '0702');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (19, '07', '0703');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (19, '07', '0706');

-- Student 20
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (20, '08', '0002');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (20, '08', '0801');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (20, '08', '0802');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (20, '08', '0803');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (20, '08', '0804');
INSERT INTO enrollment (student_id, course_code, subject_code) VALUES (20, '08', '0805');
